VA_DATE,VOLCANO_NAME,VOLCANO_ID,OBS_DATE,OBS_LOWALT,OBS_HIGHALT,OBS_CONTOUR,FCST+6_DATE,FCST+6_LOWALT,FCST+6_HIGHALT,FCST+6_CONTOUR,FCST+12_DATE,FCST+12_LOWALT,FCST+12_HIGHALT,FCST+12_CONTOUR,FCST+18_DATE,FCST+18_LOWALT,FCST+18_HIGHALT,FCST+18_CONTOUR
201802180353,FUEGO,342090,201802180330,SFC,FL160,N1434W09105N1429W09053N1428W09053N1420W09104N1434W09105,201802180930,SFC,FL160,N1440W09111N1429W09052N1427W09053N1425W09114N1440W09111,201802181530,SFC,FL160,N1440W09112N1429W09053N1428W09053N1425W09114N1440W09112,201802182130,SFC,FL160,N1440W09112N1429W09052N1427W09053N1425W09114N1440W09112
201802172156,FUEGO,342090,201802172115,SFC,FL220,N1431W09052N1413W09012N1353W09026N1424W09057N1428W09054N1431W09052,201802180330,SFC,FL220,N1429W09053N1428W09052N1402W09045N1411W09117N1429W09053,201802180930,SFC,FL180,N1435W09126N1429W09053N1427W09052N1410W09118N1435W09126,201802181530,SFC,FL180,N1436W09125N1429W09053N1427W09052N1411W09118N1436W09125
201802171955,FUEGO,342090,201802171930,SFC,FL220,N1431W09052N1419W09037N1410W09052N1424W09057N1428W09054N1431W09052,201802180130,SFC,FL220,N1429W09053N1428W09052N1412W09059N1418W09110N1429W09053,201802180730,None,None,NO ASH,201802181330,None,None,NO ASH
201802171415,FUEGO,342090,201802171400,SFC,FL160,N1431W09052N1426W09051N1350W09201N1419W09216N1431W09052,201802172000,SFC,FL160,N1431W09053N1426W09051N1339W09208N1422W09226N1431W09053,201802180200,SFC,FL160,N1431W09052N1426W09051N1353W09228N1425W09237N1431W09052,201802180800,SFC,FL160,N1430W09051N1426W09051N1352W09232N1422W09240N1430W09051
201802170830,FUEGO,342090,201802170745,SFC,FL160,N1432W09107N1429W09053N1426W09107N1432W09107,201802171400,SFC,FL160,N1417W09138N1417W09138N1417W09138,201802172000,SFC,FL160,N1435W09138N1430W09053N1417W09138N1435W09138,201802180200,SFC,FL160,N1436W09138N1429W09053N1417W09137N1436W09138
201802170308,FUEGO,342090,201802170245,SFC,FL160,N1439W09111N1428W09052N1427W09053N1430W09117N1439W09111,201802170900,SFC,FL160,N1447W09122N1428W09052N1428W09053N1432W09128N1447W09122,201802171500,SFC,FL160,N1447W09123N1429W09052N1428W09052N1432W09128N1447W09123,201802172100,SFC,FL160,N1448W09123N1428W09052N1427W09053N1431W09128N1448W09123
201802162131,FUEGO,342090,201802162125,SFC,FL160,N1439W09122N1428W09052N1428W09052N1425W09122N1439W09122,201802170330,SFC,FL160,N1440W09126N1428W09052N1428W09052N1424W09126N1440W09126,201802170930,SFC,FL160,N1440W09126N1428W09052N1428W09052N1425W09126N1440W09126,201802171530,SFC,FL160,N1440W09126N1428W09052N1428W09052N1424W09126N1440W09126
201802161552,FUEGO,342090,201802161545,SFC,FL180,N1508W09237N1429W09051N1426W09051N1409W09239N1508W09237,201802162200,SFC,FL180,N1511W09257N1429W09051N1425W09052N1428W09304N1511W09257,201802170400,SFC,FL180,N1511W09257N1429W09051N1426W09052N1431W09302N1511W09257,201802171000,SFC,FL180,N1511W09258N1429W09050N1425W09052N1429W09302N1511W09258
201802161322,FUEGO,342090,201802161245,SFC,FL180,N1510W09246N1429W09052N1416W09102N1359W09243N1510W09246,201802161900,SFC,FL180,N1452W09305N1431W09054N1420W09056N1408W09311N1452W09305,201802170100,SFC,FL180,N1450W09304N1431W09054N1419W09055N1409W09309N1450W09304,201802170700,SFC,FL180,N1452W09308N1429W09053N1419W09053N1411W09308N1452W09308
201802160723,FUEGO,342090,201802160700,SFC,FL160,N1454W09242N1431W09053N1425W09053N1414W09238N1454W09242,201802161300,SFC,FL160,N1458W09242N1429W09053N1426W09054N1418W09242N1458W09242,201802161900,SFC,FL160,N1502W09240N1429W09053N1425W09053N1423W09244N1502W09240,201802170100,SFC,FL160,N1505W09239N1429W09053N1426W09052N1427W09245N1505W09239
201802160151,FUEGO,342090,201802160130,SFC,FL160,N1435W09147N1431W09052N1425W09051N1427W09149N1435W09147,201802160730,SFC,FL160,N1435W09213N1431W09052N1425W09052N1425W09150N1424W09213N1435W09213,201802161330,SFC,FL160,N1431W09052N1424W09052N1408W09214N1421W09219N1431W09052,201802161930,SFC,FL160,N1432W09052N1424W09051N1410W09218N1425W09219N1432W09052
201802151954,FUEGO,342090,201802151930,SFC,FL160,N1432W09052N1426W09050N1420W09118N1427W09120N1432W09052,201802160130,SFC,FL160,N1434W09132N1432W09052N1425W09052N1424W09133N1434W09132,201802160730,SFC,FL160,N1440W09132N1432W09052N1425W09052N1430W09134N1440W09132,201802161330,SFC,FL160,N1435W09134N1432W09052N1425W09052N1423W09134N1435W09134
